13duj 0.016952 318.436571 13.575875
filter R48
56587.172 17.70 0.01
56588.091 17.23 0.02
56588.116 17.21 0.01
56589.107 16.79 0.01
56590.097 16.48 0.01
56590.123 16.39 0.01
56593.132 15.89 0.02
56593.188 15.89 0.02
56593.213 15.74 0.02
56597.100 15.55 0.02
56598.094 15.48 0.02
56599.098 15.47 0.02
56600.104 15.43 0.02
56602.140 15.37 0.02
56603.190 15.38 0.02
56610.179 15.59 0.02
56610.104 15.57 0.02
56610.137 15.57 0.02
56611.179 15.65 0.02
56611.103 15.64 0.02
56611.139 15.65 0.02
filter Unot
56595.32 15.220 0.022
56603.33 15.204 0.019
56608.37 15.500 0.038
56619.36 16.709 0.017
filter Bnot
56595.32 15.590 0.017
56603.33 15.385 0.009
56608.37 15.588 0.017
56619.36 16.615 0.011
filter Vnot
56595.32 15.574 0.017
56603.33 15.272 0.009
56608.37 15.334 0.017
56619.36 15.934 0.011
filter rspm
56591.120 16.222 0.002
56593.110 15.813 0.002
56605.113 15.223 0.004
56615.111 15.795 0.004
56628.109 15.950 0.005
56632.112 16.194 0.003
56636.101 16.497 0.022
56637.101 16.485 0.010
56638.126 16.599 0.006
filter ispm
56590.124 16.860 0.007
56591.120 16.565 0.004
56605.113 15.939 0.005
56611.159 16.237 0.004
56628.109 16.287 0.005
56632.112 16.309 0.005
56636.101 16.553 0.012
56637.101 16.549 0.010
56638.126 16.691 0.006
filter zspm
56590.124 16.736 0.011
56591.120 16.542 0.006
56593.110 16.270 0.006
56605.113 15.858 0.006
56611.159 16.063 0.007
56615.111 15.881 0.006
56628.109 15.983 0.007
56632.112 16.060 0.006
56637.101 16.431 0.010
56638.126 16.412 0.009
filter Yspm
56590.124 16.422 0.009
56591.120 16.242 0.010
56593.110 16.044 0.007
56605.113 16.349 0.011
56611.159 16.503 0.010
56615.111 16.399 0.013
56628.109 15.426 0.015
56632.112 15.429 0.005
56636.101 15.677 0.027
56638.126 15.579 0.006
#filter WFCAMY
#56590.124 16.396 0.05
#56591.120 16.187 0.05
#56593.110 15.930 0.05
#56605.113 16.302 0.05
#56611.159 16.537 0.05
#56615.111 16.513 0.05
#56628.109 15.637 0.05
#56632.112 15.402 0.05
#56636.101 15.456 0.05
#56637.101 15.477 0.05
#56638.126 15.543 0.05
filter Jspm
56590.124 16.493 0.022
56591.120 16.187 0.020
56593.110 15.677 0.015
56605.113 16.083 0.020
56611.159 16.805 0.041
56628.109 16.881 0.069
56632.112 16.698 0.036
56636.101 16.677 0.091
56638.126 16.841 0.038
filter Hspm
56590.124 16.552 0.033
56591.120 16.342 0.039
56593.110 16.133 0.027
56605.113 16.192 0.030
56611.159 16.354 0.045
56615.111 16.449 0.034
56628.109 16.135 0.089
56632.112 15.940 0.023
56636.101 16.013 0.092
56638.126 16.178 0.040
#filter Y
#56612.00  16.701  0.010
#56617.02  16.617  0.008
#filter Jrc2
#56612.02  16.986  0.014
#56617.05  17.418  0.022
#filter H
#56612.01  16.436  0.014
#56617.04  16.423  0.023
filter B_UVOT
# Swift
56591.257 16.194 0.068
56592.393 16.009 0.065
56593.560 15.810 0.064
56594.320 15.714 0.063
56595.666 15.425 0.057
56596.500 15.458 0.061
56598.269 15.328 0.056
56599.532 15.277 0.055
56600.668 15.267 0.058
56603.567 15.346 0.057
filter Bkait
# kait4
56590.160 16.536 0.025
56591.130 16.234 0.020
56592.130 15.985 0.024
56596.120 15.490 0.014
56597.110 15.458 0.011
56598.110 15.392 0.012
56599.110 15.371 0.013
56602.100 15.354 0.019
56603.100 15.317 0.038
56604.110 15.400 0.014
56605.110 15.447 0.013
56607.100 15.602 0.020
56609.090 15.708 0.020
56611.100 16.320 0.311
56613.100 16.072 0.027
56615.110 16.166 0.104
56619.110 16.725 0.046
56621.100 16.953 0.030
56625.100 17.314 0.045
56629.090 17.624 0.084
56641.100 18.153 0.118
56649.090 18.344 0.133
56656.100 18.326 0.122
filter Ikait
# kait4
56590.160 16.544 0.077
56591.130 16.267 0.061
56592.130 16.033 0.045
56596.120 15.596 0.046
56597.110 15.597 0.051
56598.110 15.547 0.039
56599.110 15.524 0.041
56602.100 15.566 0.054
56603.100 15.568 0.116
56604.110 15.598 0.044
56605.110 15.640 0.040
56607.100 15.858 0.053
56609.090 15.817 0.066
56611.100 16.171 0.426
56613.100 16.125 0.063
56615.110 16.294 0.227
56619.110 16.185 0.198
56621.100 16.156 0.060
56625.100 16.012 0.056
56629.090 15.867 0.069
56641.100 16.463 0.137
56649.090 16.903 0.136
56656.100 17.163 0.152
filter Rkait
# kait4
56590.160 16.413 0.043
56591.130 16.141 0.038
56592.130 15.934 0.109
56596.120 15.451 0.025
56597.110 15.410 0.116
56598.110 15.316 0.024
56599.110 15.289 0.110
56602.100 15.189 0.026
56603.100 15.202 0.044
56604.110 15.186 0.020
56605.110 15.235 0.020
56607.100 15.331 0.023
56609.090 15.379 0.021
56611.100 15.474 0.189
56613.100 15.651 0.026
56615.110 15.636 0.097
56619.110 15.939 0.130
56621.100 15.949 0.031
56625.100 15.896 0.036
56629.090 15.984 0.051
56641.100 16.672 0.050
56649.090 16.978 0.142
56656.100 17.234 0.095
filter U_UVOT
# Swift
56591.256 15.942 0.074
56592.392 15.520 0.068
56593.560 15.358 0.067
56594.320 15.152 0.062
56595.665 15.039 0.058
56596.500 14.978 0.061
56598.269 15.033 0.058
56599.531 14.942 0.057
56600.667 15.044 0.066
56603.566 15.366 0.068
filter V_UVOT
# Swift
56591.268 16.280 0.085
56592.396 15.990 0.083
56593.563 15.818 0.081
56594.323 15.747 0.077
56595.637 15.545 0.075
56596.503 15.536 0.085
56598.273 15.392 0.071
56599.537 15.312 0.069
56600.671 15.150 0.085
56603.571 15.170 0.068
filter Vkait
# kait4
56590.160 16.574 0.029
56591.130 16.269 0.023
56592.130 16.057 0.022
56596.120 15.545 0.016
56597.110 15.482 0.016
56598.110 15.406 0.013
56599.110 15.358 0.014
56602.100 15.261 0.016
56603.100 15.266 0.035
56604.110 15.248 0.013
56605.110 15.282 0.013
56607.100 15.356 0.021
56609.090 15.384 0.017
56611.100 15.315 0.177
56613.100 15.582 0.020
56615.110 15.813 0.058
56619.110 15.946 0.063
56621.100 16.032 0.021
56625.100 16.151 0.025
56629.090 16.362 0.039
56641.100 17.083 0.052
56649.090 17.355 0.088
